database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20401-3,TransformOneToOne,ADV PMT FM EVD,2381000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20401-4,TransformOneToOne,ADV PMT FM 3RD PARTY,2150000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20501-,TransformOneToOne,ACCT PAYABLE ACCURAL,2153900,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20701-,TransformOneToOne,LTM PAYABLE-SAFETY A,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-20702-,TransformOneToOne,LTM PAYABLE-SAFETY U,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21101-,TransformOneToOne,ACCURED PAYROLL,2311000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21102-,TransformOneToOne,ACCURED BONUS,2311010,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21103-,TransformOneToOne,ACCRUED FREIGHT,2320010,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21201-,TransformOneToOne,ACCRUED EXPENSE,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21202-,TransformOneToOne,ACCRUED VAT -TRUE UP,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21401-,TransformOneToOne,ACCURED WELFARE FUND,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-21403-,TransformOneToOne,ACCURED WELFARE-HOUS,2320090,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22101-,TransformOneToOne,STAMP TAX PAYABLE,2310690,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22101-0001,TransformOneToOne,URBAN TAX PAYABLE,2310690,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22102-,TransformOneToOne,TAX PAYABLE,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22102-0001,TransformOneToOne,INPUT VAT TURN OUT,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22102-0002,TransformOneToOne,VAT RETURN FOR EXPOR,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22102-0003,TransformOneToOne,OUTPUT VAT,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22102-0004,TransformOneToOne,PAID VAT,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22103-,TransformOneToOne,VAT SALES,2310620,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22104-,TransformOneToOne,PERSONAL INCOME TAX,2312000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-22107-,TransformOneToOne,INCOME TAX PAYABLES,2200020,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-24101-,TransformOneToOne,LONG TERM BORROWINGS,2506000,true,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-30101-,TransformOneToOne,CAPITAL CONTRIBUTION,3101000,true,
